lat,lon,MaxWind,RMW,MIN_SLP,SHR_MAG,SHR_HDG,STM_SPD,STM_HDG,SST,OHC,TPW,LAND,850TANG,850VORT,200DVRG,lat(+6h),lon(+6h),MaxWind(+6h),RMW(+6h),MIN_SLP(+6hr),SHR_MAG(+6h),SHR_HDG(+6h),STM_SPD(+6h),STM_HDG(+6h),SST(+6h),OHC(+6h),TPW(+6h),LAND(+6h),850TANG(+6h),850VORT(+6h),200DVRG(+6h),lat(+12h),lon(+12h),MaxWind(+12h),RMW(+12h),MIN_SLP(+12hr),SHR_MAG(+12h),SHR_HDG(+12h),STM_SPD(+12h),STM_HDG(+12h),SST(+12h),OHC(+12h),TPW(+12h),LAND(+12h),850TANG(+12h),850VORT(+12h),200DVRG(+12h),class
28.6,282.5,44,65,994,36,86,15,59,263,9999,48,301,138,32,99,29.4,284,43,123,996,34,90,20,53,259,9999,50,458,127,42,31,29.4,284,43,123,996,34,90,20,53,259,9999,50,458,127,42,31,0
29.9,285.1,50,120,993,31,84,22,49,260,9999,50,541,154,26,79,31.3,287,47,159,991,35,81,20,54,261,9999,51,507,167,63,86,31.3,287,47,159,991,35,81,20,54,261,9999,51,507,167,63,86,0
30.9,287.5,56,163,991,34,86,23,53,262,9999,51,572,172,40,97,32.3,289.7,52,133,989,32,83,20,61,258,9999,48,623,179,27,83,32.3,289.7,52,133,989,32,83,20,61,258,9999,48,623,179,27,83,0
32.1,289.9,59,135,985,32,81,21,68,251,9999,48,651,188,31,86,32.9,292.2,57,144,986,33,87,21,63,246,9999,48,800,185,26,67,32.9,292.2,57,144,986,33,87,21,63,246,9999,48,800,185,26,67,0
33,292,57,136,986,32,87,23,67,251,9999,45,779,186,30,38,33.9,294.6,49,152,990,40,87,23,67,245,9999,44,972,180,40,18,33.9,294.6,49,152,990,40,87,23,67,245,9999,44,972,180,40,18,0
15.7,280,40,103,1005,7,209,14,322,298,9999,58,331,96,69,64,16.8,279.1,39,106,999,2,28,14,326,296,9999,58,316,100,70,91,16.8,279.1,39,106,999,2,28,14,326,296,9999,58,316,100,70,91,1
16.9,279.1,52,149,992,0,323,12,320,296,9999,57,311,115,73,92,17.8,278.3,62,43,988,1,37,12,324,296,9999,58,347,127,53,108,17.8,278.3,62,43,988,1,37,12,324,296,9999,58,347,127,53,108,1
17.7,278.3,74,31,985,4,59,12,330,298,9999,58,340,145,48,107,18.7,277.7,78,70,978,4,112,12,328,295,9999,58,380,152,40,78,18.7,277.7,78,70,978,4,112,12,328,295,9999,58,380,152,40,78,1
18.7,277.6,73,71,980,1,58,14,331,297,9999,58,375,143,40,79,19.9,276.9,78,90,975,1,140,13,334,297,9999,60,240,165,58,125,19.9,276.9,78,90,975,1,140,13,334,297,9999,60,240,165,58,125,1
19.7,277,77,75,976,4,325,11,350,301,9999,60,265,162,47,121,20.8,276.8,94,165,960,3,40,12,346,298,9999,60,152,178,73,134,20.8,276.8,94,165,960,3,40,12,346,298,9999,60,152,178,73,134,0
20.8,276.7,88,162,965,5,346,12,341,296,9999,59,145,170,66,132,21.9,276.3,90,145,956,9,44,11,348,283,9999,59,33,184,54,118,21.9,276.3,90,145,956,9,44,11,348,283,9999,59,33,184,54,118,0
21.8,276.4,101,106,951,9,20,10,355,302,9999,58,44,189,49,111,22.8,276.3,100,164,951,15,35,9,360,267,9999,59,8,196,44,98,22.8,276.3,100,164,951,15,35,9,360,267,9999,59,8,196,44,98,0
22.6,276.4,119,169,947,14,26,8,13,269,9999,58,-16,212,42,112,23.4,276.6,99,113,944,15,26,9,9,289,9999,58,63,212,80,115,23.4,276.6,99,113,944,15,26,9,9,289,9999,58,63,212,80,115,1
23.5,276.7,108,121,946,15,29,9,17,294,9999,58,72,216,72,123,24.4,277,109,80,941,22,25,10,8,291,9999,58,163,219,99,93,24.4,277,109,80,941,22,25,10,8,291,9999,58,163,219,99,93,1
